register_name,address
DMAMUX_CHCFG8,0x40021008
DMAMUX_CHCFG9,0x40021009
DMAMUX_CHCFG10,0x4002100a
DMAMUX_CHCFG11,0x4002100b
DMAMUX_CHCFG12,0x4002100c
DMAMUX_CHCFG13,0x4002100d
DMAMUX_CHCFG14,0x4002100e
DMAMUX_CHCFG15,0x4002100f
CAN0_MCR,0x40024000
CAN0_TIMER,0x40024008
CAN0_RXMGMASK,0x40024010
CAN0_ESR1,0x40024020
CAN0_IMASK1,0x40024028
CAN0_IFLAG1,0x40024030
CAN0_CTRL2,0x40024034
CAN0_ESR2,0x40024038
CAN0_CRCR,0x40024044
CAN0_RXFGMASK,0x40024048
CAN0_RXIMR0,0x40024880
CAN0_RXIMR1,0x40024884
CAN0_RXIMR2,0x40024888
CAN0_RXIMR3,0x4002488c
CAN0_RXIMR4,0x40024890
CAN0_RXIMR5,0x40024894
CAN0_RXIMR6,0x40024898
CAN0_RXIMR7,0x4002489c
CAN0_RXIMR8,0x400248a0
CAN0_RXIMR9,0x400248a4
CAN0_RXIMR10,0x400248a8
CAN0_RXIMR11,0x400248ac
CAN0_RXIMR12,0x400248b0
CAN0_RXIMR13,0x400248b4
CAN0_RXIMR14,0x400248b8
CAN0_RXIMR15,0x400248bc
I2S0_TCSR,0x4002f000
I2S0_TCR1,0x4002f004
I2S0_TCR2,0x4002f008
I2S0_TCR3,0x4002f00c
I2S0_TCR4,0x4002f010
I2S0_TCR5,0x4002f014
I2S0_TDR0,0x4002f020
I2S0_TDR1,0x4002f024
I2S0_TFR0,0x4002f040
I2S0_TFR1,0x4002f044
I2S0_TMR,0x4002f060
I2S0_RCSR,0x4002f080
I2S0_RCR1,0x4002f084
I2S0_RCR2,0x4002f088
I2S0_RCR3,0x4002f08c
I2S0_RCR4,0x4002f090
I2S0_RCR5,0x4002f094
I2S0_RDR0,0x4002f0a0
I2S0_RDR1,0x4002f0a4
I2S0_RFR0,0x4002f0c0
I2S0_RFR1,0x4002f0c4
I2S0_RMR,0x4002f0e0
I2S0_MCR,0x4002f100
I2S0_MDR,0x4002f104
CRC_CRC,0x40032000
USBDCD_CONTROL,0x40035000
USBDCD_CLOCK,0x40035004
USBDCD_STATUS,0x40035008
USBDCD_TIMER0,0x40035010
USBDCD_TIMER1,0x40035014
USBDCD_TIMER2,0x40035018
PDB0_SC,0x40036000
PDB0_MOD,0x40036004
PDB0_IDLY,0x4003600c
PDB0_CH0S,0x40036014
PDB0_CH0DLY0,0x40036018
PDB0_CH0DLY1,0x4003601c
PDB0_CH1C1,0x40036038
PDB0_CH1S,0x4003603c
PDB0_CH1DLY0,0x40036040
PDB0_CH1DLY1,0x40036044
PDB0_DACINTC0,0x40036150
PDB0_DACINT0,0x40036154
PDB0_DACINTC1,0x40036158
PDB0_DACINT1,0x4003615c
PDB0_POEN,0x40036190
PDB0_PO0DLY,0x40036194
PDB0_PO1DLY,0x40036198
PDB0_PO2DLY,0x4003619c
PIT_MCR,0x40037000
PIT_LDVAL0,0x40037100
PIT_CVAL0,0x40037104
PIT_TCTRL0,0x40037108
PIT_TFLG0,0x4003710c
PIT_LDVAL1,0x40037110
PIT_CVAL1,0x40037114
PIT_TCTRL1,0x40037118
PIT_TFLG1,0x4003711c
PIT_LDVAL2,0x40037120
PIT_CVAL2,0x40037124
PIT_TCTRL2,0x40037128
PIT_TFLG2,0x4003712c
PIT_LDVAL3,0x40037130
PIT_CVAL3,0x40037134
PIT_TCTRL3,0x40037138
PIT_TFLG3,0x4003713c
FTM0_SC,0x40038000
FTM0_CNT,0x40038004
FTM0_MOD,0x40038008
FTM0_C0SC,0x4003800c
FTM0_C0V,0x40038010
FTM0_C1SC,0x40038014
FTM0_C1V,0x40038018
FTM0_C2SC,0x4003801c
FTM0_C2V,0x40038020
FTM0_C3SC,0x40038024
FTM0_C3V,0x40038028
FTM0_C4SC,0x4003802c
FTM0_C4V,0x40038030
FTM0_C5SC,0x40038034
FTM0_C5V,0x40038038
FTM0_C6SC,0x4003803c
FTM0_C6V,0x40038040
FTM0_C7SC,0x40038044
FTM0_C7V,0x40038048
FTM0_CNTIN,0x4003804c
FTM0_STATUS,0x40038050
FTM0_MODE,0x40038054
FTM0_SYNC,0x40038058
FTM0_OUTINIT,0x4003805c
FTM0_OUTMASK,0x40038060
FTM0_COMBINE,0x40038064
FTM0_DEADTIME,0x40038068
FTM0_EXTTRIG,0x4003806c
FTM0_POL,0x40038070
FTM0_FMS,0x40038074
FTM0_FILTER,0x40038078
FTM0_FLTCTRL,0x4003807c
FTM0_QDCTRL,0x40038080
FTM0_CONF,0x40038084
FTM0_FLTPOL,0x40038088
FTM0_SYNCONF,0x4003808c
FTM0_INVCTRL,0x40038090
FTM0_SWOCTRL,0x40038094
FTM0_PWMLOAD,0x40038098
FTM1_SC,0x40039000
FTM1_CNT,0x40039004
FTM1_MOD,0x40039008
FTM1_C0SC,0x4003900c
FTM1_C0V,0x40039010
FTM1_C1SC,0x40039014
FTM1_C1V,0x40039018
FTM1_C2SC,0x4003901c
FTM1_C2V,0x40039020
